year;month;day;temperature_avg;temperature_max;temperature_min;precipitation_mm;condition
2024;1;1;-5;-8;-2;2.1;"снег"
2024;1;2;-3;-6;0;0.0;"ясно"
2024;2;1;-1;-4;2;1.5;"облачно"
2025;1;15;-6;-10;-3;3.0;"снег"
2025;11;14;3;6;4;3.0;"облачно"
2025;11;15;2;7;0;13.9;"облачно, снег с дождем"
2025;11;16;-2;0;-3;0;"ясно"
2025;11;17;0;4;-2;4.9;"пасмурно, мокрый снег"
2025;11;18;6;8;5;9.8;"пасмурно"
2025;11;19;3;1;2;0.5;"пасмурно"
2025;11;20;2;1;1;1.4;"пасмурно"
2025;11;21;5;2;3;7.2;"пасмурно"
2025;11;22;4;2;3;9.2;"пасмурно"
2025;11;23;6;2;3;1.9;"пасмурно"
2025,11,24,-6,-6,-2,2.1,снег
2025,11,24,-6,-6,-2,2.1,снег
